Plot.id,Hexagon,Plot,Species,Live_status,DBH,Crown_class,Distance,Age.ca,Height,modelled.height2,Cruise_tree_class
H8P2,8,2,Bl: subalpine fir,Snag (Dead) (45-90%) ,22,1 (0-25% healthy),NA,NA,NA,21.35951,9: Younger immature - Dead potential
H8P2,8,2,Sx: spruce hybrid,Snag (Dead) (45-90%) ,24.5,1 (0-25% healthy),NA,NA,NA,22.06922125,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),14.2,2 (25-50% healthy),NA,NA,NA,19.24780508,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),29.7,4 (75-100% healthy),NA,NA,NA,23.59655173,2: Older immature - Suspect
H8P2,8,2,Sx: spruce hybrid,Standing (Live),11.3,4 (75-100% healthy),NA,NA,NA,18.50230933,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),19.6,2 (25-50% healthy),NA,NA,NA,20.69320472,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),31.2,4 (75-100% healthy),NA,NA,NA,24.04996168,2: Older immature - Suspect
H8P2,8,2,D: alder,Standing (Live),8.3,2 (25-50% healthy),NA,NA,NA,17.75370973,2: Older immature - Suspect
H8P2,8,2,Sx: spruce hybrid,Standing (Live),23.6,4 (75-100% healthy),NA,NA,NA,21.81188632,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),14.4,2 (25-50% healthy),NA,NA,NA,19.30001032,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),25.6,4 (75-100% healthy),NA,NA,NA,22.38655112,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),27.9,4 (75-100% healthy),NA,NA,NA,23.06004517,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),28.6,2 (25-50% healthy),NA,NA,NA,23.26770332,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),36.6,4 (75-100% healthy),NA,NA,NA,25.72981852,2: Older immature - Suspect
H8P2,8,2,Sx: spruce hybrid,Standing (Live),28,4 (75-100% healthy),NA,NA,NA,23.089634,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),31.4,3 (50-75% healthy),NA,NA,NA,24.11085052,2: Older immature - Suspect
H8P2,8,2,Sx: spruce hybrid,Standing (Live),42.2,4 (75-100% healthy),NA,NA,NA,27.55055548,2: Older immature - Suspect
H8P2,8,2,Bl: subalpine fir,Standing (Live),20,4 (75-100% healthy),NA,NA,NA,20.803234,2: Older immature - Suspect
H8P2,8,2,Bl: subalpine fir,Standing (Live),9,3 (50-75% healthy),NA,NA,NA,17.926327,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),32.1,4 (75-100% healthy),12.1,50,25.1,24.32476597,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),57,4 (75-100% healthy),11.1,99,34.6,32.748055,2: Older immature - Suspect
H8P2,8,2,Sx: spruce hybrid,Standing (Live),38.2,4 (75-100% healthy),9.5,65,27.1,26.24185628,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),43.7,4 (75-100% healthy),10.1,146,33.1,28.05185293,5: Mature
H8P1,8,1,Other,Down (Dead) (0-45%),39,1 (0-25% healthy),NA,NA,NA,26.500327,4: Dead useless
H8P1,8,1,Fd: douglas-fir,Down (Dead) (0-45%),69.5,1 (0-25% healthy),NA,NA,NA,37.57361125,4: Dead useless
H8P1,8,1,Bl: subalpine fir,Standing (Live),25.9,4 (75-100% healthy),14.65,76,22.1,22.47363197,8: Younger immature
H8P1,8,1,Other,Down (Dead) (0-45%),33,1 (0-25% healthy),NA,NA,NA,24.601639,4: Dead useless
H8P1,8,1,Other,Down (Dead) (0-45%),30.5,1 (0-25% healthy),NA,NA,NA,23.83765525,4: Dead useless
H8P1,8,1,Fd: douglas-fir,Standing (Live),40.3,4 (75-100% healthy),22,NA,28.2,26.92382813,5: Mature
H8P1,8,1,Sx: spruce hybrid,Standing (Live),23.1,4 (75-100% healthy),NA,NA,NA,21.66981637,1: Older Immature
H8P1,8,1,Ep: paper birch,Standing (Live),25,4 (75-100% healthy),NA,NA,NA,22.213079,5: Mature
